Date,Unemployment Rate,Feds Funds,Industrial Production,Leading Index,Housing Starts,Building Permits,Consumer Sentiment,Close
2/1/1993,7.1,3.03,64.929,2.1,1210,1148,86.6,44.3
3/1/1993,7,3.07,64.872,1.61,1083,1056,85.9,44.3
4/1/1993,7.1,2.96,65.0611,1.64,1258,1104,85.6,45.0
5/1/1993,7.1,3,64.8104,1.45,1260,1112,80.3,44.3
6/1/1993,7,3.04,64.9553,1.6,1280,1130,81.5,45.7
7/1/1993,6.9,3.06,65.1198,1.92,1254,1174,77,44.9
8/1/1993,6.8,3.03,65.0494,2,1300,1230,77.3,45.0
9/1/1993,6.7,3.09,65.3882,2.04,1343,1251,77.9,46.5
10/1/1993,6.8,2.99,65.8702,1.76,1392,1287,82.7,46.2
11/1/1993,6.6,3.02,66.1779,2.09,1376,1357,81.2,47.0
12/1/1993,6.5,2.96,66.5602,2.26,1533,1461,88.2,46.4
1/1/1994,6.6,3.05,66.7722,1.94,1272,1390,94.3,46.5
2/1/1994,6.6,3.25,66.8068,1.95,1337,1269,93.2,48.0
3/1/1994,6.5,3.34,67.4832,2.01,1564,1342,91.5,46.6
4/1/1994,6.4,3.56,67.8771,2.2,1465,1392,92.6,46.0
5/1/1994,6.1,4.01,68.1961,2.2,1526,1396,92.8,45.4
6/1/1994,6.1,4.25,68.6526,2.27,1409,1357,91.2,46.0
7/1/1994,6.1,4.26,68.7353,2.18,1439,1335,89,44.6
8/1/1994,6,4.47,69.1954,2.4,1450,1377,91.7,46.1
9/1/1994,5.9,4.73,69.4017,2.08,1474,1412,91.5,47.5
10/1/1994,5.8,4.76,69.969,2.08,1450,1397,92.7,46.1
11/1/1994,5.6,5.29,70.4367,2.14,1511,1340,91.6,47.0
12/1/1994,5.5,5.45,71.1413,2.13,1455,1396,95.1,45.1
1/1/1995,5.6,5.53,71.2762,2.03,1407,1282,97.6,46.1
2/1/1995,5.4,5.92,71.1904,1.68,1316,1254,95.1,47.1
3/1/1995,5.4,5.98,71.2891,1.57,1249,1226,90.3,48.7
4/1/1995,5.8,6.05,71.1623,1.19,1267,1259,92.5,50.2
